attack_id,run_id,attack_class,mutation_chain,actual_decision,attack_success,reasons,status
U201,U201-0041,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0042,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0043,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0044,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0045,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0046,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0047,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0048,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0049,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0050,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0051,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0052,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0053,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0054,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0055,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0056,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0057,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0058,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0059,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0060,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0061,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0062,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0063,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0064,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0065,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0066,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0067,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0068,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0069,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0070,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0071,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0072,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0073,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0074,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0075,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0076,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0077,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0078,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0079,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0080,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0081,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0082,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0083,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
U201,U201-0084,combo_provenance_task_version,provenance_forge+task_escalation+version_downgrade,REJECT_INCONSISTENT,0,invalid_signature;provenance_mismatch;task_not_authorized;version_mismatch,PASS
